study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929036	SRX658392	SRR1521832	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521832/SRR1521832.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521832	GSM1441287	H3K4me1_MPP.ucsc
PRJNA255796	SAMN02929036	SRX658392	SRR1521833	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521833/SRR1521833.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521833	GSM1441287	H3K4me1_MPP.ucsc
PRJNA255796	SAMN02929037	SRX658393	SRR1521834	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521834/SRR1521834.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521834	GSM1441288	H3K4me1_CMP.ucsc
PRJNA255796	SAMN02929037	SRX658393	SRR1521835	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521835/SRR1521835.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521835	GSM1441288	H3K4me1_CMP.ucsc
PRJNA255796	SAMN02929037	SRX658393	SRR1521836	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521836/SRR1521836.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521836	GSM1441288	H3K4me1_CMP.ucsc
PRJNA255796	SAMN02929038	SRX658394	SRR1521837	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521837/SRR1521837.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521837	GSM1441289	H3K4me1_GMP.ucsc
PRJNA255796	SAMN02929038	SRX658394	SRR1521838	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521838/SRR1521838.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521838	GSM1441289	H3K4me1_GMP.ucsc
PRJNA255796	SAMN02929039	SRX658395	SRR1521839	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521839/SRR1521839.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521839	GSM1441290	H3K4me1_MEP.ucsc
PRJNA255796	SAMN02929040	SRX658396	SRR1521840	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521840/SRR1521840.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521840	GSM1441291	H3K4me1_EryA.ucsc
PRJNA255796	SAMN02929040	SRX658396	SRR1521841	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521841/SRR1521841.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521841	GSM1441291	H3K4me1_EryA.ucsc
PRJNA255796	SAMN02929041	SRX658397	SRR1521842	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521842/SRR1521842.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521842	GSM1441292	H3K4me1_EryB.ucsc
PRJNA255796	SAMN02929041	SRX658397	SRR1521843	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521843/SRR1521843.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521843	GSM1441292	H3K4me1_EryB.ucsc
PRJNA255796	SAMN02929042	SRX658398	SRR1521844	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521844/SRR1521844.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521844	GSM1441293	H3K4me1_GN.ucsc
PRJNA255796	SAMN02929042	SRX658398	SRR1521845	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521845/SRR1521845.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521845	GSM1441293	H3K4me1_GN.ucsc
